Accession_Number	Clonal_Complex	Country_Isolation	Country_Patient_Birth	Gnumber	Host	Map	SIB_Number	Sample.included.in.Loiseau.et.al..2020	Sequence_origin
SRR8064857	unk5	Zambia		G41513	Bos taurus	1	SB0120	1	public repositories
SRR8064858	unk5	Zambia		G41514	Bos taurus	1	SB0120	1	public repositories
SRR8064859	unk5	Zambia		G41515	Bos taurus	1	SB0120	1	public repositories
SRR8064860	unk5	Zambia		G41516	Bos taurus	1	SB0120	1	public repositories
SRR1792161	unk6	USA		G37368	Cervid	1	SB1069	1	public repositories
SRR1792474	unk6	USA		G37681	Cervid	1	SB1069	1	public repositories
SRR1792479	unk6	USA		G37686	Cervid	1	SB1069	1	public repositories
SRR1792481	unk6	USA		G37688	Cervid	1	SB1069	1	public repositories
SRR1792482	unk6	USA		G37689	Cervid	1	SB1069	1	public repositories
SRR1792488	unk6	USA		G37695	Cervid	1	SB1069	1	public repositories
SRR1792493	unk6	USA		G37700	Cervid	1	SB1069	1	public repositories
ERR2512675	unk7	United Kingdom		G36708	Human	0	SB0901	1	public repositories
SRR6044919	unk7	United Kingdom		G36715	Homo sapiens	0	SB0134	1	public repositories
ERR2516262	unk7	Belgium		G36742		0	SB0134	1	public repositories
SRR5196685	unk7	France		G38456	Bovine	1	SB0821	1	public repositories
SRR7851304	unk7	France		G47577		1	SB0134	0	public repositories
SRR7851306	unk7	France		G47579		1	SB0825	0	public repositories
SRR7851307	unk7	France		G47580		1	SB0821	0	public repositories
SRR7851311	unk7	France		G47584		1	SB0818	0	public repositories
SRR7851315	unk7	France		G47588		1	SB0089	0	public repositories
SRR7851324	unk7	France		G47597		1	SB0826	0	public repositories
SRR7851327	unk7	France		G47600		1	SB0134	0	public repositories
SRR7851328	unk7	France		G47601		1	SB0840	0	public repositories
SRR7851333	unk7	France		G47606		1	SB0040	0	public repositories
SRR7851336	unk7	France		G47609		1	SB0134	0	public repositories
SRR7851337	unk7	France		G47610		1	SB0885	0	public repositories
SRR7851338	unk7	France		G47611		1	SB0134	0	public repositories
SRR7851339	unk7	France		G47612		1	New pattern	0	public repositories
SRR7851340	unk7	France		G47613		1	SB0928	0	public repositories
SRR7851354	unk7	France		G47627		1	SB0818	0	public repositories
SRR7851361	unk7	France		G47634		1	SB0128	0	public repositories
SRR7851370	unk7	France		G47643		1	SB0823	0	public repositories
SRR7851372	unk7	France		G47645		1	SB0089	0	public repositories
SRR7851376	unk7	France		G47649		1	SB0120	0	public repositories
SRR7851378	unk7	France		G47651		1	SB0824	0	public repositories
SRR7851379	unk7	France		G47652		1	SB0827	0	public repositories
SRR5196685	unk7	France		G47679		1	SB0821	0	public repositories
SRR7851306	unk7	France		G49363		1	SB0825	0	public repositories
SRR7851304	unk7	France		G49364		1	SB0134	0	public repositories
ERR4769570	unk7	Mali		G66530		1	SB0991	0	public repositories
ERR4769569	unk7	Mali		G66531		1	SB0134	0	public repositories
ERR3458082	unk8	Ethiopia		G00373	Cattle	1	SB1476	1	public repositories
	unk9	Turkey		G66320	Human	1	SB0989	0	newly sequenced
	unk9	Turkey		G66321	Human	1	SB0989	0	newly sequenced
ERR2212113	unk9	Germany		G66737	red deer	1	SB0989	0	public repositories
ERR2212114	unk9	Germany		G66738	red deer	1	SB0989	0	public repositories
ERR2212116	unk9	Germany		G66740	red deer	1	SB0989	0	public repositories
ERR2212117	unk9	Germany		G66741	red deer	1	SB0989	0	public repositories
ERR2212118	unk9	Germany		G66742	bison	0	SB0989	0	public repositories
ERR2212119	unk9	Germany		G66743	lynx	0	SB0989	0	public repositories
ERR2212120	unk9	Germany		G66744	fallow deer	1	SB0989	0	public repositories
ERR2212121	unk9	Germany		G66745	sika deer	0	SB0989	0	public repositories
ERR2212122	unk9	Germany		G66746	fallow deer	1	SB0989	0	public repositories
ERR2212123	unk9	Germany		G66747	fallow deer	1	SB0989	0	public repositories
ERR2212124	unk9	Germany		G66748	red deer	1	SB0989	0	public repositories
ERR2212125	unk9	Germany		G66749	lynx	0	SB0989	0	public repositories
SRR13888760	caprae	Spain	NA	G67120	isolated from Wild boar	NA	NA	0	public repositories
SRR13888783	caprae	Spain	NA	G67121	isolated from Cattle	NA	NA	0	public repositories
SRR13888762	caprae	Spain	NA	G67122	isolated from Goat	NA	NA	0	public repositories
SRR13888792	caprae	Spain	NA	G67123	isolated from Goat	NA	NA	0	public repositories
SRR13888769	caprae	Spain	NA	G67124	isolated from Goat	NA	NA	0	public repositories
SRR13888773	caprae	Spain	NA	G67125	isolated from Goat	NA	NA	0	public repositories
SRR13888784	caprae	Spain	NA	G67126	isolated from Cattle	NA	NA	0	public repositories
SRR13888788	caprae	Spain	NA	G67127	isolated from Goat	NA	NA	0	public repositories
SRR13888766	caprae	Spain	NA	G67128	isolated from Goat	NA	NA	0	public repositories
SRR13888795	caprae	Spain	NA	G67129	isolated from Cattle	NA	NA	0	public repositories
SRR13888781	caprae	Spain	NA	G67130	isolated from Cattle	NA	NA	0	public repositories
SRR13888794	caprae	Spain	NA	G67131	isolated from Goat	NA	NA	0	public repositories
SRR13888789	caprae	Spain	NA	G67132	isolated from Cattle	NA	NA	0	public repositories
SRR13888753	caprae	Spain	NA	G67133	isolated from Goat	NA	NA	0	public repositories
SRR13888763	caprae	Spain	NA	G67134	isolated from Goat	NA	NA	0	public repositories
SRR13888775	caprae	Spain	NA	G67135	isolated from Goat	NA	NA	0	public repositories
SRR13888757	caprae	Spain	NA	G67136	isolated from Wild boar	NA	NA	0	public repositories
SRR13888759	caprae	Spain	NA	G67137	isolated from Wild boar	NA	NA	0	public repositories
SRR13888774	caprae	Spain	NA	G67138	isolated from Cattle	NA	NA	0	public repositories
SRR13888786	caprae	Spain	NA	G67139	isolated from Cattle	NA	NA	0	public repositories
SRR13888790	caprae	Spain	NA	G67140	isolated from Cattle	NA	NA	0	public repositories
SRR13888797	caprae	Spain	NA	G67141	isolated from Cattle	NA	NA	0	public repositories
SRR13888772	caprae	Spain	NA	G67142	isolated from Goat	NA	NA	0	public repositories
SRR13888776	caprae	Spain	NA	G67143	isolated from Cattle	NA	NA	0	public repositories
SRR13888782	caprae	Spain	NA	G67144	isolated from Goat	NA	NA	0	public repositories
SRR13888764	caprae	Spain	NA	G67145	isolated from Goat	NA	NA	0	public repositories
SRR13888750	caprae	Spain	NA	G67146	isolated from Cattle	NA	NA	0	public repositories
SRR13888767	caprae	Spain	NA	G67147	isolated from Wild boar	NA	NA	0	public repositories
SRR13888765	caprae	Spain	NA	G67148	isolated from Goat	NA	NA	0	public repositories
SRR13888780	caprae	Spain	NA	G67149	isolated from Cattle	NA	NA	0	public repositories
SRR13888761	caprae	Spain	NA	G67150	isolated from Wild boar	NA	NA	0	public repositories
SRR13888770	caprae	Spain	NA	G67151	isolated from Goat	NA	NA	0	public repositories
SRR13888798	caprae	Spain	NA	G67152	isolated from Cattle	NA	NA	0	public repositories
SRR13888771	caprae	Spain	NA	G67153	isolated from Goat	NA	NA	0	public repositories
SRR13888785	caprae	Spain	NA	G67154	isolated from Cattle	NA	NA	0	public repositories
SRR13888749	caprae	Spain	NA	G67155	isolated from Goat	NA	NA	0	public repositories
SRR13888758	caprae	Spain	NA	G67156	isolated from Wild boar	NA	NA	0	public repositories
SRR13888777	caprae	Spain	NA	G67157	isolated from Wild boar	NA	NA	0	public repositories
SRR13888799	caprae	Spain	NA	G67158	isolated from Cattle	NA	NA	0	public repositories
SRR13888752	caprae	Spain	NA	G67159	isolated from Cattle	NA	NA	0	public repositories
SRR13888778	caprae	Spain	NA	G67160	isolated from Cattle	NA	NA	0	public repositories
SRR13888796	caprae	Spain	NA	G67161	isolated from Cattle	NA	NA	0	public repositories
SRR13888787	caprae	Spain	NA	G67162	isolated from Goat	NA	NA	0	public repositories
SRR13888791	caprae	Spain	NA	G67163	isolated from Goat	NA	NA	0	public repositories
SRR13888755	caprae	Spain	NA	G67164	isolated from Goat	NA	NA	0	public repositories
SRR13888768	caprae	Spain	NA	G67165	isolated from Wild boar	NA	NA	0	public repositories
SRR13888756	caprae	Spain	NA	G67166	isolated from Goat	NA	NA	0	public repositories
SRR13888754	caprae	Spain	NA	G67167	isolated from Cattle	NA	NA	0	public repositories
SRR13888751	caprae	Spain	NA	G67168	isolated from Goat	NA	NA	0	public repositories
SRR13888779	caprae	Spain	NA	G67169	isolated from Sheep	NA	NA	0	public repositories
SRR13888793	caprae	Spain	NA	G67170	isolated from Goat	NA	NA	0	public repositories
